Star,SimbadName,Teff,logg,feh,class,is_host,age_gyr
HD215152,HD215152,4935,4.4,-0.1,LMPH,True,0.022387211385683375
HD215257,HD215257,6052,4.46,-0.63,single,False,5.623413251903491
HD215456,HD215456,5789,4.1,-0.09,single,False,8.91250938133744
HD215497,HD215497,5110,4.4,0.2,HMPH,True,17.78279410038923
HD215625,HD215625,6282,4.58,0.1,single,False,0.0630957344480193
HD215722,HD215722,4728,4.4,-0.1,single,False,0.017782794100389226
HD215902,HD215902,5454,4.46,-0.25,single,False,14.125375446227611
HD215906,HD215906,6259,4.56,-0.28,single,False,0.028183829312644664
HD216008,HD216008,5773,4.38,-0.04,single,False,7.079457843841373
HD216215,HD216215,5220,4.45,-0.2,single,False,17.78279410038923
HD216435,HD216435,6008,4.2,0.24,HMPH,True,0.01995262314968879
HD216770,HD216770,5424,4.38,0.24,HMPH,True,10.0
HD216777,HD216777,5623,4.51,-0.38,single,False,7.079457843841373
